district_names,state_ut,sex_ratio_at_birth_for_children_born_in_the_last_five_years_females_per_1_000_males,children_under_age_5_years_whose_birth_was_registered_with_the_civil_authority_pct,women_age_20_24_years_married_before_age_18_years_pct,births_in_the_5_years_preceding_the_survey_that_are_third_or_higher_order_pct,women_age_15_19_years_who_were_already_mothers_or_pregnant_at_the_time_of_the_survey_pct,women_age_15_24_years_who_use_hygienic_methods_of_protection_during_their_menstrual_period5_pct,mothers_who_had_an_antenatal_check_up_in_the_first_trimester_for_last_birth_in_the_5_years_before_the_survey_pct,mothers_who_had_at_least_4_antenatal_care_visits_for_last_birth_in_the_5_years_before_the_survey_pct,mothers_whose_last_birth_was_protected_against_neonatal_tetanus_for_last_birth_in_the_5_years_before_the_survey_9_pct,mothers_who_consumed_iron_folic_acid_for_100_days_or_more_when_they_were_pregnant_for_last_birth_in_the_5_years_before_the_survey_pct,mothers_who_consumed_iron_folic_acid_for_180_days_or_more_when_they_were_pregnant_for_last_birth_in_the_5_years_before_the_survey_pct,registered_pregnancies_for_which_the_mother_received_a_mother_and_child_protection_mcp_card_for_last_birth_in_the_5_years_before_the_survey_pct,mothers_who_received_postnatal_care_from_a_doctor_nurse_lhv_anm_midwife_other_health_personnel_within_2_days_of_delivery_for_last_birth_in_the_5_years_before_the_survey_pct,average_out_of_pocket_expenditure_per_delivery_in_a_public_health_facility_for_last_birth_in_the_5_years_before_the_survey_rs,children_who_received_postnatal_care_from_a_doctor_nurse_lhv_anm_midwife_other_health_personnel_within_2_days_of_delivery_for_last_birth_in_the_5_years_before_the_survey_pct,institutional_births_in_the_5_years_before_the_survey_pct,institutional_births_in_public_facility_in_the_5_years_before_the_survey_pct,home_births_that_were_conducted_by_skilled_health_personnel_in_the_5_years_before_the_survey_10_pct,births_attended_by_skilled_health_personnel_in_the_5_years_before_the_survey_10_pct,births_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct,births_in_a_private_health_facility_that_were_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct,births_in_a_public_health_facility_that_were_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct,children_age_12_23_months_fully_vaccinated_based_on_information_from_either_vaccination_card_or_mother_s_recall11_pct,children_age_12_23_months_fully_vaccinated_based_on_information_from_vaccination_card_only12_pct,children_age_12_23_months_who_have_received_bcg_pct,children_age_12_23_months_who_have_received_3_doses_of_polio_vaccine13_pct,children_age_12_23_months_who_have_received_3_doses_of_penta_or_dpt_vaccine_pct,children_age_12_23_months_who_have_received_the_first_dose_of_measles_containing_vaccine_mcv_pct,children_age_24_35_months_who_have_received_a_second_dose_of_measles_containing_vaccine_mcv_pct,children_age_12_23_months_who_have_received_3_doses_of_rotavirus_vaccine14_pct,children_age_12_23_months_who_have_received_3_doses_of_penta_or_hepatitis_b_vaccine_pct,children_age_9_35_months_who_received_a_vitamin_a_dose_in_the_last_6_months_pct,children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_public_health_facility_pct,children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_private_health_facility_pct,prevalence_of_diarrhoea_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct,children_prevalence_of_symptoms_of_acute_respiratory_infection_ari_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct,children_under_age_3_years_breastfed_within_one_hour_of_birth15_pct,breastfeeding_children_age_6_23_months_receiving_an_adequate_diet16_17_pct,total_children_age_6_23_months_receiving_an_adequate_diet16_17_pct,children_under_5_years_who_are_stunted_height_for_age_18_pct,children_under_5_years_who_are_wasted_weight_for_height_18_pct,children_under_5_years_who_are_severely_wasted_weight_for_height_19_pct,children_under_5_years_who_are_underweight_weight_for_age_18_pct,children_under_5_years_who_are_overweight_weight_for_height_20_pct,women_age_15_49_years_who_are_overweight_or_obese_bmi_25_0_kg_m2_21_pct,children_age_6_59_months_who_are_anaemic_11_0_g_dl_22_pct,non_pregnant_women_age_15_49_years_who_are_anaemic_12_0_g_dl_22_pct,pregnant_women_age_15_49_years_who_are_anaemic_11_0_g_dl_22_pct,all_women_age_15_49_years_who_are_anaemic22_pct,all_women_age_15_19_years_who_are_anaemic22_pct
Nicobars,Andaman & Nicobar Islands,927,98.0,11.4,0.0,1.8,100.0,62.8,71.7,78.0,72.6,43.9,97.9,85.1,2278,92.5,97.8,96.7,0.8,98.6,11.5,,10.7,64.2,94.1,80.4,69.1,71.9,67.3,20.7,3.1,68.6,94.9,100.0,0.0,5.7,1.8,55.4,19.4,18.7,21.6,15.7,7.8,24.6,1.5,39.1,37.7,38.4,,38.3,48.0
North & Middle Andaman,Andaman & Nicobar Islands,844,100.0,15.4,1.5,3.8,100.0,74.5,79.2,91.1,83.7,24.1,99.2,92.5,1904,94.3,97.7,95.0,0.7,98.3,12.9,,11.4,,,,,,,,,,89.6,,,4.5,7.0,27.3,6.5,5.9,27.0,27.0,8.3,42.8,0.8,35.9,30.4,62.5,,62.1,47.8
South Andaman,Andaman & Nicobar Islands,935,96.5,17.1,0.5,2.8,98.2,79.4,85.9,92.1,81.0,61.9,98.9,88.1,3460,89.8,99.5,83.8,0.0,96.9,37.1,79.1,29.6,76.3,96.6,100.0,79.0,94.8,81.7,33.7,0.0,85.3,84.0,93.1,4.3,6.0,0.0,51.1,22.3,23.5,21.1,12.6,3.5,17.4,7.2,39.0,43.4,57.6,,57.7,43.2
Srikakulam,Andhra Pradesh,1163,95.0,25.4,0.0,5.5,78.0,79.7,78.4,94.4,67.5,35.3,100.0,90.8,3479,97.7,97.9,52.2,0.5,96.4,57.0,73.8,44.5,82.8,100.0,93.3,82.8,89.7,93.3,34.9,74.8,89.7,69.6,97.0,3.0,11.9,1.3,42.8,14.0,16.1,19.7,19.5,7.4,21.4,4.5,27.2,59.6,62.8,,62.6,59.2
Vizianagaram,Andhra Pradesh,898,95.4,33.7,2.2,12.7,72.5,76.1,71.4,91.3,59.6,32.4,98.8,83.9,1931,89.2,99.0,70.6,0.5,97.6,41.3,70.3,30.3,76.8,,100.0,76.8,90.3,92.5,35.0,77.3,83.6,85.9,100.0,0.0,7.5,1.4,55.6,2.5,1.8,36.4,19.2,8.3,32.2,4.7,28.8,66.7,64.6,,64.0,73.9
Visakhapatnam,Andhra Pradesh,974,90.5,25.4,0.0,9.5,85.7,79.4,58.6,88.0,75.0,40.1,97.0,84.8,2200,90.9,95.3,69.3,0.0,94.4,26.5,57.2,16.8,76.5,93.5,97.9,76.5,90.5,95.1,45.1,72.9,79.6,91.3,83.8,9.7,8.1,2.0,64.3,6.9,11.8,31.0,21.5,11.2,33.5,4.8,23.8,72.6,58.6,,58.0,58.9
East Godavari,Andhra Pradesh,882,93.0,26.0,1.3,6.2,71.0,76.3,51.0,87.0,62.7,32.3,91.4,91.9,8159,93.5,96.6,46.0,2.2,89.9,52.2,72.0,34.1,59.0,67.3,92.7,66.3,83.9,76.7,32.5,77.8,86.7,81.4,85.3,7.5,13.3,2.2,51.3,3.0,10.2,23.1,14.3,3.8,22.4,3.4,44.4,66.8,63.2,,63.0,65.2
West Godavari,Andhra Pradesh,833,93.5,22.1,0.5,13.4,84.4,82.2,62.7,95.3,82.8,43.7,100.0,94.8,2318,96.4,98.7,48.8,0.7,98.5,55.7,72.0,40.4,80.0,87.0,94.8,80.0,89.0,91.7,26.3,77.7,89.0,73.9,100.0,0.0,2.7,1.0,32.8,4.9,3.5,31.4,11.7,4.7,22.5,5.2,45.3,62.3,63.1,,63.0,66.8
Krishna,Andhra Pradesh,1139,96.4,25.3,0.0,9.6,92.6,81.5,73.3,95.8,56.2,39.2,96.4,88.3,3715,90.3,98.9,40.1,0.5,98.0,66.1,79.7,47.9,90.0,97.2,93.9,90.0,93.9,90.0,33.8,62.1,93.9,81.0,100.0,0.0,7.8,2.4,29.3,26.1,23.4,29.8,14.3,5.2,21.1,4.2,40.6,65.7,60.4,,60.3,59.0
Guntur,Andhra Pradesh,941,92.3,35.4,1.0,20.7,88.0,89.4,62.5,90.3,75.1,42.5,96.0,94.0,3912,97.2,98.6,49.6,0.9,95.5,53.8,72.2,37.0,76.2,100.0,97.6,76.2,97.6,92.5,39.6,87.8,97.6,80.2,97.4,2.6,10.0,1.0,69.3,8.6,11.2,23.8,17.8,8.1,26.9,3.6,46.4,59.3,59.8,51.9,59.5,54.6
