indicator,category,quality_category,valid_percentage,selection,selection_reason
number_of_households_surveyed,Socioeconomic & Living Conditions,High,100.0,Supporting,Supporting/contextual indicator
number_of_women_age_15_49_years_interviewed,Population & Survey Profile,High,100.0,Supporting,Supporting/contextual indicator
number_of_men_age_15_54_years_interviewed,Population & Survey Profile,High,100.0,Supporting,Supporting/contextual indicator
female_population_age_6_years_and_above_who_ever_attended_school_pct,Education,High,100.0,Supporting,Supporting/contextual indicator
population_below_age_15_years_pct,Population & Survey Profile,High,100.0,Supporting,Supporting/contextual indicator
sex_ratio_of_the_total_population_females_per_1_000_males,Population & Survey Profile,High,100.0,Supporting,Supporting/contextual indicator
sex_ratio_at_birth_for_children_born_in_the_last_five_years_females_per_1_000_males,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
children_under_age_5_years_whose_birth_was_registered_with_the_civil_authority_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
deaths_in_the_last_3_years_registered_with_the_civil_authority_pct,Mortality & Registration,High,99.85835694050992,Supporting,Supporting/contextual indicator
population_living_in_households_with_electricity_pct,Socioeconomic & Living Conditions,High,100.0,Supporting,Supporting/contextual indicator
population_living_in_households_with_an_improved_drinking_water_source1_pct,Socioeconomic & Living Conditions,High,100.0,Supporting,Supporting/contextual indicator
population_living_in_households_that_use_an_improved_sanitation_facility2_pct,Socioeconomic & Living Conditions,High,100.0,Supporting,Supporting/contextual indicator
households_using_clean_fuel_for_cooking3_pct,Socioeconomic & Living Conditions,High,100.0,Supporting,Supporting/contextual indicator
households_using_iodized_salt_pct,Socioeconomic & Living Conditions,High,100.0,Supporting,Supporting/contextual indicator
households_with_any_usual_member_covered_under_a_health_insurance_financing_scheme_pct,Socioeconomic & Living Conditions,High,100.0,Supporting,Supporting/contextual indicator
children_age_5_years_who_attended_pre_primary_school_during_the_school_year_2019_20_pct,Education,High,99.57507082152975,Supporting,Supporting/contextual indicator
women_age_15_49_who_are_literate4_pct,Education,High,100.0,Supporting,Supporting/contextual indicator
women_age_15_49_with_10_or_more_years_of_schooling_pct,Education,High,100.0,Supporting,Supporting/contextual indicator
women_age_20_24_years_married_before_age_18_years_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
births_in_the_5_years_preceding_the_survey_that_are_third_or_higher_order_pct,Maternal & Newborn Health,High,99.85835694050992,Core,Primary healthcare gap indicator
women_age_15_19_years_who_were_already_mothers_or_pregnant_at_the_time_of_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
women_age_15_24_years_who_use_hygienic_methods_of_protection_during_their_menstrual_period5_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_any_method6_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_any_modern_method6_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_female_sterilization_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_male_sterilization_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_iud_ppiud_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_pill_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_condom_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_injectables_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
total_unmet_need_for_family_planning_currently_married_women_age_15_49_years_7_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
unmet_need_for_spacing_currently_married_women_age_15_49_years_7_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
health_worker_ever_talked_to_female_non_users_about_family_planning_pct,Family Planning & Reproductive Health,High,100.0,Supporting,Supporting/contextual indicator
current_users_ever_told_about_side_effects_of_current_method_of_family_planning8_pct,Family Planning & Reproductive Health,High,99.71671388101983,Supporting,Supporting/contextual indicator
mothers_who_had_an_antenatal_check_up_in_the_first_trimester_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
mothers_who_had_at_least_4_antenatal_care_visits_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
mothers_whose_last_birth_was_protected_against_neonatal_tetanus_for_last_birth_in_the_5_years_before_the_survey_9_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
mothers_who_consumed_iron_folic_acid_for_100_days_or_more_when_they_were_pregnant_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
mothers_who_consumed_iron_folic_acid_for_180_days_or_more_when_they_were_pregnant_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
registered_pregnancies_for_which_the_mother_received_a_mother_and_child_protection_mcp_card_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
mothers_who_received_postnatal_care_from_a_doctor_nurse_lhv_anm_midwife_other_health_personnel_within_2_days_of_delivery_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
average_out_of_pocket_expenditure_per_delivery_in_a_public_health_facility_for_last_birth_in_the_5_years_before_the_survey_rs,Maternal & Newborn Health,High,99.85835694050992,Core,Primary healthcare gap indicator
children_born_at_home_who_were_taken_to_a_health_facility_for_a_check_up_within_24_hours_of_birth_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,Low,40.226628895184135,Exclude,Low data coverage
children_who_received_postnatal_care_from_a_doctor_nurse_lhv_anm_midwife_other_health_personnel_within_2_days_of_delivery_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
institutional_births_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
institutional_births_in_public_facility_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
