indicator,category,quality_category,valid_percentage,direction,weight,scoring_method,score_included
children_prevalence_of_symptoms_of_acute_respiratory_infection_ari_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct,Child Illness & Healthcare Access,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
prevalence_of_diarrhoea_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct,Child Illness & Healthcare Access,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
children_age_12_23_months_fully_vaccinated_based_on_information_from_vaccination_card_only12_pct,Child Immunization,High,96.88385269121812,Positive,0.023809523809523808,Min-Max 0-100,True
children_age_12_23_months_who_have_received_3_doses_of_penta_or_dpt_vaccine_pct,Child Immunization,High,98.15864022662889,Positive,0.023809523809523808,Min-Max 0-100,True
children_age_12_23_months_who_have_received_3_doses_of_penta_or_hepatitis_b_vaccine_pct,Child Immunization,High,98.15864022662889,Positive,0.023809523809523808,Min-Max 0-100,True
children_age_12_23_months_who_have_received_3_doses_of_polio_vaccine13_pct,Child Immunization,High,98.15864022662889,Positive,0.023809523809523808,Min-Max 0-100,True
children_age_12_23_months_who_have_received_3_doses_of_rotavirus_vaccine14_pct,Child Immunization,High,98.15864022662889,Positive,0.023809523809523808,Min-Max 0-100,True
children_age_12_23_months_who_have_received_bcg_pct,Child Immunization,High,98.15864022662889,Positive,0.023809523809523808,Min-Max 0-100,True
children_age_12_23_months_who_have_received_the_first_dose_of_measles_containing_vaccine_mcv_pct,Child Immunization,High,98.15864022662889,Positive,0.023809523809523808,Min-Max 0-100,True
children_age_24_35_months_who_have_received_a_second_dose_of_measles_containing_vaccine_mcv_pct,Child Immunization,High,98.15864022662889,Positive,0.023809523809523808,Min-Max 0-100,True
all_women_age_15_19_years_who_are_anaemic22_pct,Child Nutrition,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
all_women_age_15_49_years_who_are_anaemic22_pct,Child Nutrition,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
breastfeeding_children_age_6_23_months_receiving_an_adequate_diet16_17_pct,Child Nutrition,High,99.29178470254958,Positive,0.023809523809523808,Min-Max 0-100,True
children_age_6_59_months_who_are_anaemic_11_0_g_dl_22_pct,Child Nutrition,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
children_age_9_35_months_who_received_a_vitamin_a_dose_in_the_last_6_months_pct,Child Nutrition,High,99.85835694050992,Positive,0.023809523809523808,Min-Max 0-100,True
children_under_5_years_who_are_overweight_weight_for_height_20_pct,Child Nutrition,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
children_under_5_years_who_are_severely_wasted_weight_for_height_19_pct,Child Nutrition,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
children_under_5_years_who_are_stunted_height_for_age_18_pct,Child Nutrition,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
children_under_5_years_who_are_underweight_weight_for_age_18_pct,Child Nutrition,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
children_under_5_years_who_are_wasted_weight_for_height_18_pct,Child Nutrition,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
total_children_age_6_23_months_receiving_an_adequate_diet16_17_pct,Child Nutrition,High,99.85835694050992,Positive,0.023809523809523808,Min-Max 0-100,True
women_age_15_49_years_who_are_overweight_or_obese_bmi_25_0_kg_m2_21_pct,Child Nutrition,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
