state_ut,district_names,healthgap_score,healthgap_gap,district_rank,score_coverage_pct
Puducherry,Mahe,80.27964450830052,19.72035549169948,1,100.0
Odisha,Puri,79.19275018296571,20.80724981703429,2,97.61904761904762
Odisha,Jharsuguda,78.63133914693383,21.368660853066174,3,97.61904761904762
Kerala,Kozhikode,78.19927671220178,21.80072328779822,4,100.0
Kerala,Kasaragod,77.80705587695213,22.192944123047866,5,100.0
Tamil Nadu,Theni,77.58850412349642,22.41149587650358,6,100.0
Tamil Nadu,The Nilgiris,77.46026984995957,22.539730150040427,7,97.61904761904762
Tamil Nadu,Thiruvarur,77.11950029554386,22.880499704456142,8,97.61904761904762
Tamil Nadu,Vellore,77.09898588451765,22.901014115482354,9,97.61904761904762
Tamil Nadu,Thoothukkudi,76.68568828083163,23.314311719168373,10,97.61904761904762
