state_rank,state_ut,districts,avg_healthgap_score,avg_healthgap_gap,district_score_gap
36,Bihar,38,49.48591176787536,50.51408823212464,15.19598849971375
35,Nagaland,11,51.486207901698315,48.513792098301685,27.567265177681065
34,Tripura,8,54.420261212097664,45.579738787902336,18.829538973205423
33,Meghalaya,11,55.168902023279635,44.831097976720365,22.08804243810541
32,Assam,33,55.99597593071102,44.00402406928898,17.53458582267678
31,Jharkhand,24,56.106950618383145,43.893049381616855,22.42268446073887
30,Uttar Pradesh,75,56.90865577106507,43.09134422893493,21.253372316620393
29,Arunachal Pradesh,20,58.50764133636629,41.49235866363371,14.992391599042968
28,Gujarat,33,59.69378449588063,40.30621550411937,20.146714411324034
27,Maharastra,34,60.70021230009225,39.29978769990776,23.568945446504273
26,Manipur,9,60.837877813752925,39.162122186247075,19.33521733629459
25,Telangana,31,62.20782068022941,37.79217931977059,9.771513476887861
24,Ladakh,2,62.50089687813626,37.49910312186374,1.7901154427558126
23,Chhattisgarh,27,63.31196125587107,36.68803874412893,22.153934685190357
22,West Bengal,19,63.401990494332125,36.59800950566787,11.51847396196451
21,Mizoram,8,63.5739728317781,36.4260271682219,18.46622067522366
20,Rajasthan,33,63.692182277618606,36.307817722381394,17.65048444199016
19,Madhya Pradesh,48,64.11662735655942,35.88337264344059,17.94538519785487
18,Andhra Pradesh,13,64.24490385023594,35.755096149764064,9.709666633551834
17,Jammu & Kashmir,20,64.3438538050411,35.65614619495891,17.645325473363386
16,Punjab,22,65.85789887676675,34.14210112323325,16.39027338208482
15,Haryana,21,66.0432135809621,33.95678641903789,25.193736745771147
14,NCT of Delhi,11,66.08318517348845,33.91681482651156,11.059801026333567
13,Karnataka,30,66.47765456516017,33.522345434839835,15.636194316955702
12,Uttarakhand,13,66.98580404227673,33.01419595772327,14.01385031301696
11,Dadra and Nagar Haveli & Daman and Diu,3,67.2716065535282,32.72839344647179,14.372680382097066
10,Andaman & Nicobar Islands,2,69.10524076069999,30.894759239300008,6.247342321084531
9,Chandigarh,1,70.03012264026776,29.969877359732237,0.0
8,Sikkim,3,70.70719334179738,29.292806658202625,2.2255416498084486
7,Odisha,30,70.81701812468155,29.182981875318436,17.99702987000211
6,Himachal Pradesh,12,71.51761787343237,28.482382126567632,9.986630224200653
5,Lakshadweep,1,72.85587793131954,27.14412206868046,0.0
4,Kerala,11,72.94933288905324,27.05066711094676,15.925164627703914
3,Tamil Nadu,31,73.48198493485656,26.518015065143437,12.472315840635034
2,Goa,1,73.5590384984802,26.440961501519794,0.0
1,Puducherry,4,74.35171108941616,25.648288910583847,8.698055911506685
