state_ut,districts,avg_healthgap_score,avg_healthgap_gap,best_district_score,worst_district_score,district_score_gap,state_rank
Puducherry,4,74.35171108941616,25.648288910583847,80.27964450830052,71.58158859679384,8.698055911506685,1
Goa,1,73.5590384984802,26.440961501519794,73.5590384984802,73.5590384984802,0.0,2
Tamil Nadu,31,73.48198493485656,26.518015065143437,77.58850412349642,65.11618828286139,12.472315840635034,3
Kerala,11,72.94933288905324,27.05066711094676,78.19927671220178,62.274112084497865,15.925164627703914,4
Lakshadweep,1,72.85587793131954,27.14412206868046,72.85587793131954,72.85587793131954,0.0,5
Himachal Pradesh,12,71.51761787343237,28.482382126567632,75.30623744412543,65.31960721992478,9.986630224200653,6
Odisha,30,70.81701812468155,29.182981875318436,79.19275018296571,61.1957203129636,17.99702987000211,7
Sikkim,3,70.70719334179738,29.292806658202625,71.66580238876112,69.44026073895267,2.2255416498084486,8
Chandigarh,1,70.03012264026776,29.969877359732237,70.03012264026776,70.03012264026776,0.0,9
Andaman & Nicobar Islands,2,69.10524076069999,30.894759239300008,72.22891192124226,65.98156960015773,6.247342321084531,10
Dadra and Nagar Haveli & Daman and Diu,3,67.2716065535282,32.72839344647179,73.66324419309878,59.29056381100171,14.372680382097066,11
Uttarakhand,13,66.98580404227673,33.01419595772327,74.18461780974701,60.17076749673005,14.01385031301696,12
Karnataka,30,66.47765456516017,33.522345434839835,73.40141718059651,57.76522286364081,15.636194316955702,13
NCT of Delhi,11,66.08318517348845,33.91681482651156,71.18989227436256,60.130091248029,11.059801026333567,14
Haryana,21,66.0432135809621,33.95678641903789,75.2047499181511,50.01101317237995,25.193736745771147,15
Punjab,22,65.85789887676675,34.14210112323325,75.30961172308714,58.91933834100232,16.39027338208482,16
Jammu & Kashmir,20,64.3438538050411,35.65614619495891,69.70884453152489,52.0635190581615,17.645325473363386,17
Andhra Pradesh,13,64.24490385023594,35.755096149764064,68.32119134906247,58.61152471551064,9.709666633551834,18
Madhya Pradesh,48,64.11662735655942,35.88337264344059,71.96614270929,54.02075751143513,17.94538519785487,19
Rajasthan,33,63.692182277618606,36.307817722381394,70.43720242511459,52.78671798312443,17.65048444199016,20
Mizoram,8,63.5739728317781,36.4260271682219,70.54734796859285,52.081127293369185,18.46622067522366,21
West Bengal,19,63.401990494332125,36.59800950566787,70.38911862888352,58.87064466691901,11.51847396196451,22
Chhattisgarh,27,63.31196125587107,36.68803874412893,72.10411449235413,49.95017980716377,22.153934685190357,23
Ladakh,2,62.50089687813626,37.49910312186374,63.39595459951416,61.60583915675835,1.7901154427558126,24
Telangana,31,62.20782068022941,37.79217931977059,66.28384660834945,56.51233313146159,9.771513476887861,25
Manipur,9,60.837877813752925,39.162122186247075,68.40399978070303,49.06878244440844,19.33521733629459,26
Maharastra,34,60.70021230009225,39.29978769990776,69.3505242284465,45.78157878194223,23.568945446504273,27
Gujarat,33,59.69378449588063,40.30621550411937,69.1959127802404,49.04919836891637,20.146714411324034,28
Arunachal Pradesh,20,58.50764133636629,41.49235866363371,67.3670435999771,52.37465200093413,14.992391599042968,29
Uttar Pradesh,75,56.90865577106507,43.09134422893493,66.43082439672132,45.17745208010093,21.253372316620393,30
Jharkhand,24,56.106950618383145,43.893049381616855,65.32748081569082,42.90479635495195,22.42268446073887,31
Assam,33,55.99597593071102,44.00402406928898,64.70489091999357,47.17030509731679,17.53458582267678,32
Meghalaya,11,55.168902023279635,44.831097976720365,65.16986263576003,43.081820197654615,22.08804243810541,33
Tripura,8,54.420261212097664,45.579738787902336,65.93086515283497,47.101326179629545,18.829538973205423,34
Nagaland,11,51.486207901698315,48.513792098301685,66.79510509470595,39.22783991702488,27.567265177681065,35
Bihar,38,49.48591176787536,50.51408823212464,56.557114430191966,41.36112593047822,15.19598849971375,36
