district_names,state_ut,number_of_households_surveyed,number_of_women_age_15_49_years_interviewed,number_of_men_age_15_54_years_interviewed,female_population_age_6_years_and_above_who_ever_attended_school_pct,population_below_age_15_years_pct,sex_ratio_of_the_total_population_females_per_1_000_males,deaths_in_the_last_3_years_registered_with_the_civil_authority_pct,population_living_in_households_with_electricity_pct,population_living_in_households_with_an_improved_drinking_water_source1_pct,population_living_in_households_that_use_an_improved_sanitation_facility2_pct,households_using_clean_fuel_for_cooking3_pct,households_using_iodized_salt_pct,households_with_any_usual_member_covered_under_a_health_insurance_financing_scheme_pct,children_age_5_years_who_attended_pre_primary_school_during_the_school_year_2019_20_pct,women_age_15_49_who_are_literate4_pct,women_age_15_49_with_10_or_more_years_of_schooling_pct,current_use_of_family_planning_methods_currently_married_women_age_15_49_years_any_method6_pct,current_use_of_family_planning_methods_currently_married_women_age_15_49_years_any_modern_method6_pct,current_use_of_family_planning_methods_currently_married_women_age_15_49_years_female_sterilization_pct,current_use_of_family_planning_methods_currently_married_women_age_15_49_years_male_sterilization_pct,current_use_of_family_planning_methods_currently_married_women_age_15_49_years_iud_ppiud_pct,current_use_of_family_planning_methods_currently_married_women_age_15_49_years_pill_pct,current_use_of_family_planning_methods_currently_married_women_age_15_49_years_condom_pct,current_use_of_family_planning_methods_currently_married_women_age_15_49_years_injectables_pct,total_unmet_need_for_family_planning_currently_married_women_age_15_49_years_7_pct,unmet_need_for_spacing_currently_married_women_age_15_49_years_7_pct,health_worker_ever_talked_to_female_non_users_about_family_planning_pct,current_users_ever_told_about_side_effects_of_current_method_of_family_planning8_pct,women_age_15_49_years_whose_body_mass_index_bmi_is_below_normal_bmi_18_5_kg_m2_21_pct,women_age_15_49_years_who_have_high_risk_waist_to_hip_ratio_0_85_pct,women_age_15_years_and_above_with_high_141_160_mg_dl_blood_sugar_level23_pct,women_age_15_years_and_above_wih_very_high_160_mg_dl_blood_sugar_level23_pct,women_age_15_years_and_above_wih_high_or_very_high_140_mg_dl_blood_sugar_level_or_taking_medicine_to_control_blood_sugar_level23_pct,men_age_15_years_and_above_wih_high_141_160_mg_dl_blood_sugar_level23_pct,men_age_15_years_and_above_wih_very_high_160_mg_dl_blood_sugar_level23_pct,men_age_15_years_and_above_wih_high_or_very_high_140_mg_dl_blood_sugar_level_or_taking_medicine_to_control_blood_sugar_level23_pct,women_age_15_years_and_above_wih_mildly_elevated_blood_pressure_systolic_140_159_mm_of_hg_and_or_diastolic_90_99_mm_of_hg_pct,women_age_15_years_and_above_wih_moderately_or_severely_elevated_blood_pressure_systolic_160_mm_of_hg_and_or_diastolic_100_mm_of_hg_pct,women_age_15_years_and_above_wih_elevated_blood_pressure_systolic_140_mm_of_hg_and_or_diastolic_90_mm_of_hg_or_taking_medicine_to_control_blood_pressure_pct,men_age_15_years_and_above_wih_mildly_elevated_blood_pressure_systolic_140_159_mm_of_hg_and_or_diastolic_90_99_mm_of_hg_pct,men_age_15_years_and_above_wih_moderately_or_severely_elevated_blood_pressure_systolic_160_mm_of_hg_and_or_diastolic_100_mm_of_hg_pct,men_age_15_years_and_above_wih_elevated_blood_pressure_systolic_140_mm_of_hg_and_or_diastolic_90_mm_of_hg_or_taking_medicine_to_control_blood_pressure_pct,women_age_30_49_years_ever_undergone_a_screening_test_for_cervical_cancer_pct,women_age_30_49_years_ever_undergone_a_breast_examination_for_breast_cancer_pct,women_age_30_49_years_ever_undergone_an_oral_cavity_examination_for_oral_cancer_pct,women_age_15_years_and_above_who_use_any_kind_of_tobacco_pct,men_age_15_years_and_above_who_use_any_kind_of_tobacco_pct,women_age_15_years_and_above_who_consume_alcohol_pct,men_age_15_years_and_above_who_consume_alcohol_pct
Nicobars,Andaman & Nicobar Islands,882,764,125,78.0,23.0,973,83.2,97.9,98.8,83.5,56.9,99.4,2.7,29.5,87.5,53.5,65.3,57.2,46.4,0.0,2.7,2.0,4.9,1.2,9.5,3.3,40.4,49.4,8.2,62.5,7.4,3.9,13.1,9.6,4.4,15.4,23.2,8.5,35.4,32.9,11.1,47.0,13.4,13.2,5.4,63.5,76.8,29.6,64.5
North & Middle Andaman,Andaman & Nicobar Islands,874,789,108,82.7,19.8,950,92.6,93.2,92.2,86.4,61.3,99.9,2.1,30.1,84.0,41.0,84.1,73.1,48.3,0.6,6.4,7.8,9.3,0.0,5.8,1.3,23.2,83.2,8.6,79.3,7.2,6.4,16.7,9.1,6.9,18.3,18.4,4.0,27.4,22.6,6.0,32.2,1.7,0.3,15.8,46.8,70.5,5.1,45.3
South Andaman,Andaman & Nicobar Islands,868,844,134,84.7,21.0,967,92.2,99.6,97.9,89.3,91.9,99.7,1.2,50.8,86.7,57.5,57.1,50.5,34.0,0.0,2.8,1.8,10.6,0.3,17.6,8.6,31.2,88.2,10.0,78.2,7.5,9.5,18.4,9.3,7.8,18.1,12.7,4.9,23.0,17.9,6.1,26.9,1.3,0.7,8.0,19.6,50.8,1.7,32.8
Srikakulam,Andhra Pradesh,874,780,100,60.0,20.7,1140,71.0,99.9,87.7,71.6,74.7,76.5,75.6,0.0,64.3,42.5,72.3,72.2,71.0,0.3,0.6,0.0,0.3,0.0,5.7,3.6,16.0,45.8,13.8,54.0,8.2,7.8,17.4,6.8,8.6,17.6,12.8,5.9,22.1,14.4,5.5,22.9,1.0,0.2,3.8,7.1,21.3,0.6,28.3
Vizianagaram,Andhra Pradesh,902,853,134,56.0,20.6,1114,81.7,99.5,93.1,61.7,60.3,85.0,76.7,25.2,58.3,37.6,71.2,71.2,69.3,1.3,0.0,0.0,0.6,0.0,6.7,4.7,21.1,36.4,16.9,58.0,6.2,7.0,14.3,5.8,7.5,14.5,12.9,6.6,25.2,14.8,6.4,25.1,4.9,0.6,7.3,11.4,21.5,0.8,32.3
Visakhapatnam,Andhra Pradesh,869,818,112,66.8,21.4,1066,71.3,99.6,91.8,77.8,72.9,82.2,64.9,5.0,69.5,46.0,68.0,67.7,64.9,1.5,0.3,0.0,0.8,0.0,4.8,2.4,15.2,35.3,17.4,58.0,6.1,8.6,17.0,7.3,8.5,18.2,12.1,5.9,23.9,17.0,7.0,29.2,1.7,0.7,4.1,6.3,22.8,1.3,30.2
East Godavari,Andhra Pradesh,888,824,105,75.4,20.5,995,68.2,98.8,97.9,77.7,80.3,81.2,66.4,11.2,77.9,43.2,66.3,66.3,64.1,0.9,0.1,0.3,1.1,0.0,8.0,4.4,12.5,32.4,10.2,49.2,7.5,12.7,21.7,9.2,15.5,27.6,13.0,6.6,29.0,17.3,7.3,32.2,1.9,1.0,4.8,3.2,25.5,0.7,25.9
West Godavari,Andhra Pradesh,884,841,122,75.4,21.5,999,90.1,99.3,99.1,80.8,86.8,83.4,67.6,2.7,77.0,46.5,77.8,77.2,74.5,0.7,0.6,0.4,0.6,0.4,3.0,1.8,12.5,28.8,10.1,51.6,7.3,13.1,23.8,7.2,10.4,18.9,14.7,6.1,28.8,17.7,8.7,31.4,7.1,1.8,13.1,2.2,21.8,0.2,23.6
Krishna,Andhra Pradesh,865,820,119,74.0,20.4,1064,86.3,99.6,94.4,79.1,89.8,87.5,68.1,15.1,76.9,46.2,79.1,78.1,76.5,1.0,0.0,0.0,0.4,0.0,2.5,1.4,16.1,27.7,10.5,53.5,7.9,13.4,23.3,8.5,11.9,22.5,13.4,4.3,24.0,18.6,5.1,28.5,5.4,2.1,12.3,1.4,21.3,0.4,22.8
Guntur,Andhra Pradesh,851,807,93,64.9,22.4,1055,82.5,99.2,99.3,83.4,91.7,85.8,71.1,7.6,68.5,32.6,73.3,73.2,72.9,0.0,0.2,0.0,0.1,0.0,3.2,1.7,16.6,28.2,9.6,53.4,7.8,13.0,22.7,10.7,13.4,25.9,14.7,5.9,25.8,18.0,8.5,31.3,6.5,0.2,14.6,1.6,25.4,0.2,24.5
Prakasam,Andhra Pradesh,821,689,95,58.1,23.1,1011,88.9,99.3,98.6,78.4,90.8,85.5,67.6,7.6,62.8,34.5,69.0,68.7,68.7,0.0,0.0,0.0,0.0,0.0,4.8,1.6,25.4,18.9,14.4,50.5,7.9,12.6,23.2,11.8,15.3,30.2,14.6,6.4,27.8,19.8,8.3,33.0,4.1,0.2,10.0,2.2,28.2,0.3,19.0
Sri Potti Sriramulu Nello,Andhra Pradesh,865,922,132,67.9,20.8,1049,84.8,99.1,95.6,81.8,84.6,85.6,72.3,9.6,70.5,38.7,71.9,71.7,71.4,0.0,0.0,0.0,0.3,0.0,3.1,2.3,19.7,21.7,15.2,47.6,8.2,12.3,21.8,7.2,12.7,21.1,12.7,4.5,23.0,15.3,5.9,25.1,10.2,0.8,6.7,4.4,26.5,0.3,25.9
Y.S.R.,Andhra Pradesh,910,1017,140,61.9,24.1,1058,86.1,99.8,99.9,85.4,94.3,80.2,73.3,9.5,63.8,40.0,69.1,68.4,68.1,0.0,0.3,0.0,0.0,0.0,5.5,3.1,29.5,14.6,15.9,30.6,8.4,8.7,18.4,9.9,10.6,22.3,13.6,5.7,23.2,17.8,6.9,27.3,13.4,0.9,3.6,3.1,18.0,0.2,16.0
Kurnool,Andhra Pradesh,870,908,139,55.2,25.9,1045,77.9,99.9,97.9,73.5,78.1,70.4,73.3,5.5,57.0,33.4,70.0,70.0,69.5,0.0,0.0,0.2,0.4,0.0,2.1,0.9,20.7,22.2,20.6,42.1,6.9,6.9,15.1,9.2,10.2,20.6,18.3,5.1,27.0,22.2,7.4,31.8,2.3,0.2,2.9,2.1,19.9,0.4,20.0
Anantapur,Andhra Pradesh,882,868,146,59.5,24.3,1047,87.2,99.6,98.8,71.3,86.4,88.6,73.2,17.0,63.6,31.3,67.6,67.6,67.2,0.0,0.0,0.0,0.1,0.0,6.4,3.7,21.9,36.4,21.9,46.3,5.4,7.8,14.2,7.5,8.3,16.8,12.4,8.5,23.4,16.2,7.7,26.7,1.0,0.4,4.0,5.0,20.5,0.6,16.8
Chittoor,Andhra Pradesh,865,828,121,65.6,22.6,1024,74.3,99.7,98.5,74.6,86.6,85.5,70.7,14.2,69.3,40.3,69.0,68.9,67.9,0.0,0.0,0.0,0.8,0.0,6.0,3.9,21.3,29.1,20.1,41.7,6.9,8.4,17.2,7.2,12.3,22.4,10.7,5.4,22.7,16.8,5.9,27.1,2.2,0.3,4.0,4.3,18.7,0.4,18.3
Tawang,Arunachal Pradesh,905,924,137,59.3,27.3,1063,51.2,99.7,99.8,81.7,88.1,99.9,33.5,3.3,59.1,39.2,62.1,56.3,9.1,0.0,10.4,29.5,1.7,1.3,14.6,11.7,24.8,67.7,1.2,68.3,3.1,0.7,4.5,5.5,1.6,8.5,17.4,11.7,30.3,25.7,9.2,36.4,1.0,0.8,0.7,5.1,24.0,23.4,43.2
West Kameng,Arunachal Pradesh,959,1122,167,73.0,21.7,971,48.5,97.5,99.8,88.9,88.9,98.9,38.3,3.9,73.7,43.6,53.8,47.8,17.1,0.0,7.3,17.2,3.4,1.3,17.0,13.5,24.3,68.1,1.9,76.8,3.6,0.7,4.7,8.0,1.6,10.0,12.4,4.3,19.8,21.9,7.0,30.7,0.0,0.5,0.2,13.9,38.7,19.5,45.9
East Kameng,Arunachal Pradesh,940,1002,130,63.1,31.2,985,22.2,86.3,93.6,75.6,49.5,98.9,25.1,5.6,62.2,31.8,64.9,57.4,23.6,0.0,10.6,14.6,6.2,0.8,9.7,4.7,13.7,77.5,4.8,68.7,4.3,4.0,8.9,6.7,6.3,13.9,14.1,4.4,19.5,22.2,6.0,29.0,0.6,0.2,0.7,24.9,48.2,27.4,49.8
Papum Pare,Arunachal Pradesh,950,1017,142,77.6,30.5,1039,21.6,98.7,92.9,75.7,81.3,100.0,26.9,12.9,78.2,50.5,47.7,41.0,15.7,0.0,5.6,10.6,4.8,0.9,20.3,8.8,20.7,73.1,5.3,68.0,4.8,3.0,9.5,5.3,6.5,12.8,13.6,3.5,20.6,21.2,9.2,32.7,2.6,1.2,2.0,16.1,43.7,16.1,42.7
Upper Subansiri,Arunachal Pradesh,988,1092,147,61.4,27.3,1052,10.5,87.0,94.7,80.9,32.8,99.8,21.5,8.0,64.3,31.8,53.2,48.4,17.5,0.0,6.8,14.5,3.1,4.4,17.3,8.6,19.8,74.6,2.8,81.6,3.6,2.2,6.6,5.3,3.3,10.6,17.7,5.9,25.4,25.0,10.5,37.5,0.5,0.1,0.3,19.8,55.3,42.8,65.6
Upper Siang,Arunachal Pradesh,935,901,133,69.5,25.8,894,18.4,99.5,99.8,91.8,36.3,99.1,34.6,6.7,74.4,34.8,62.0,54.0,30.0,0.0,7.4,6.9,7.6,0.6,11.9,6.6,22.1,71.7,2.4,63.8,4.0,2.9,7.5,5.7,4.2,10.3,16.0,9.3,26.1,20.1,10.7,31.7,0.7,0.4,0.4,21.3,59.2,22.0,61.2
Changlang,Arunachal Pradesh,981,1168,189,74.6,28.7,963,56.5,95.2,81.8,82.3,34.1,99.2,40.5,1.4,77.6,30.5,71.4,46.3,15.1,0.0,1.6,27.5,1.8,0.0,6.7,3.5,20.9,88.6,10.5,66.2,5.6,3.1,9.1,8.2,4.3,13.2,13.8,6.7,22.8,19.2,7.0,27.5,0.2,0.0,0.0,21.9,59.9,30.0,60.9
Lower Subansiri,Arunachal Pradesh,986,1094,167,73.1,22.0,1016,30.3,97.8,98.1,82.8,60.8,99.5,24.5,18.2,76.8,49.9,65.9,58.0,25.0,0.1,8.9,11.8,9.8,1.4,8.5,2.3,12.4,66.4,4.3,68.8,4.9,3.6,9.1,8.3,5.0,14.2,17.1,7.6,25.7,25.2,10.4,36.6,3.6,0.7,0.8,18.0,46.7,16.8,48.1
Dibang Valley,Arunachal Pradesh,925,868,134,67.6,22.1,983,28.9,79.2,100.0,95.0,49.3,99.6,28.7,3.2,77.8,43.2,69.1,49.7,23.9,0.0,9.5,8.2,5.6,1.2,4.6,3.4,24.1,88.5,3.8,82.1,3.5,5.2,9.4,5.5,6.2,12.2,20.6,10.6,32.2,28.8,15.5,45.4,0.3,0.4,0.8,20.3,55.4,27.9,64.3
Lower Dibang Valley,Arunachal Pradesh,968,1090,173,76.8,24.5,1010,53.6,84.4,99.5,89.9,57.4,98.7,36.8,2.0,81.6,51.9,75.3,56.4,28.4,0.0,12.2,3.9,8.3,0.4,4.9,4.6,21.4,94.8,4.1,75.1,4.6,4.1,8.9,7.1,5.9,13.2,16.7,8.1,25.6,24.8,12.6,38.1,0.0,0.2,0.2,20.6,52.1,20.3,48.7
Anjaw,Arunachal Pradesh,932,828,125,61.5,23.2,939,34.6,96.4,86.6,86.8,29.0,99.6,17.5,2.5,67.9,28.8,64.7,50.9,21.2,0.0,8.6,15.9,2.9,1.1,6.8,4.7,29.6,79.0,2.4,66.9,4.0,8.7,13.0,7.4,10.7,18.3,21.8,7.6,31.1,30.2,11.8,42.6,0.9,0.6,0.2,22.1,66.1,31.6,68.4
East Siang,Arunachal Pradesh,976,1157,161,76.8,23.1,1059,26.1,97.3,97.3,83.9,52.4,99.4,30.5,18.0,83.8,55.6,40.0,35.9,14.4,0.0,5.2,7.1,6.7,0.9,17.6,9.6,15.4,61.7,6.8,67.9,5.6,3.4,9.5,7.8,4.4,12.7,18.0,8.5,29.7,26.3,10.0,38.1,1.1,0.2,0.8,24.7,51.3,18.8,50.7
Kra Daadi,Arunachal Pradesh,516,524,75,58.1,33.5,976,30.7,99.7,99.8,89.3,78.3,99.2,24.0,0.0,55.3,27.4,46.1,39.9,16.7,0.0,5.7,13.4,1.4,0.6,16.5,13.1,19.5,48.1,2.0,80.9,2.7,0.9,4.1,5.2,0.5,5.7,13.7,4.6,19.4,17.7,7.5,26.1,0.0,0.3,0.6,9.9,25.0,11.5,34.8
