indicator,total_rows,valid_values,low_sample_values,suppressed_values,missing_values,valid_percentage,quality_category,category,selection,selection_reason,direction
number_of_households_surveyed,706,706,0,0,0,100.0,High,Socioeconomic & Living Conditions,Supporting,Supporting/contextual indicator,Context
number_of_women_age_15_49_years_interviewed,706,706,0,0,0,100.0,High,Population & Survey Profile,Supporting,Supporting/contextual indicator,Context
number_of_men_age_15_54_years_interviewed,706,706,0,0,0,100.0,High,Population & Survey Profile,Supporting,Supporting/contextual indicator,Context
female_population_age_6_years_and_above_who_ever_attended_school_pct,706,706,0,0,0,100.0,High,Education,Supporting,Supporting/contextual indicator,Context
population_below_age_15_years_pct,706,706,0,0,0,100.0,High,Population & Survey Profile,Supporting,Supporting/contextual indicator,Context
sex_ratio_of_the_total_population_females_per_1_000_males,706,706,0,0,0,100.0,High,Population & Survey Profile,Supporting,Supporting/contextual indicator,Context
sex_ratio_at_birth_for_children_born_in_the_last_five_years_females_per_1_000_males,706,706,2,-2,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Context
children_under_age_5_years_whose_birth_was_registered_with_the_civil_authority_pct,706,706,0,0,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Positive
deaths_in_the_last_3_years_registered_with_the_civil_authority_pct,706,705,27,-26,1,99.85835694050992,High,Mortality & Registration,Supporting,Supporting/contextual indicator,Context
population_living_in_households_with_electricity_pct,706,706,0,0,0,100.0,High,Socioeconomic & Living Conditions,Supporting,Supporting/contextual indicator,Context
population_living_in_households_with_an_improved_drinking_water_source1_pct,706,706,0,0,0,100.0,High,Socioeconomic & Living Conditions,Supporting,Supporting/contextual indicator,Context
population_living_in_households_that_use_an_improved_sanitation_facility2_pct,706,706,0,0,0,100.0,High,Socioeconomic & Living Conditions,Supporting,Supporting/contextual indicator,Context
households_using_clean_fuel_for_cooking3_pct,706,706,0,0,0,100.0,High,Socioeconomic & Living Conditions,Supporting,Supporting/contextual indicator,Context
households_using_iodized_salt_pct,706,706,0,0,0,100.0,High,Socioeconomic & Living Conditions,Supporting,Supporting/contextual indicator,Context
households_with_any_usual_member_covered_under_a_health_insurance_financing_scheme_pct,706,706,0,0,0,100.0,High,Socioeconomic & Living Conditions,Supporting,Supporting/contextual indicator,Context
children_age_5_years_who_attended_pre_primary_school_during_the_school_year_2019_20_pct,706,703,155,-152,3,99.57507082152975,High,Education,Supporting,Supporting/contextual indicator,Context
women_age_15_49_who_are_literate4_pct,706,706,0,0,0,100.0,High,Education,Supporting,Supporting/contextual indicator,Context
women_age_15_49_with_10_or_more_years_of_schooling_pct,706,706,0,0,0,100.0,High,Education,Supporting,Supporting/contextual indicator,Context
women_age_20_24_years_married_before_age_18_years_pct,706,706,1,-1,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Negative
births_in_the_5_years_preceding_the_survey_that_are_third_or_higher_order_pct,706,705,0,1,1,99.85835694050992,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Context
women_age_15_19_years_who_were_already_mothers_or_pregnant_at_the_time_of_the_survey_pct,706,706,1,-1,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Negative
women_age_15_24_years_who_use_hygienic_methods_of_protection_during_their_menstrual_period5_pct,706,706,0,0,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Positive
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_any_method6_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Context
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_any_modern_method6_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Context
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_female_sterilization_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Context
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_male_sterilization_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Context
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_iud_ppiud_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Context
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_pill_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Context
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_condom_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Context
current_use_of_family_planning_methods_currently_married_women_age_15_49_years_injectables_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Context
total_unmet_need_for_family_planning_currently_married_women_age_15_49_years_7_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Negative
unmet_need_for_spacing_currently_married_women_age_15_49_years_7_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Negative
health_worker_ever_talked_to_female_non_users_about_family_planning_pct,706,706,0,0,0,100.0,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Context
current_users_ever_told_about_side_effects_of_current_method_of_family_planning8_pct,706,704,66,-64,2,99.71671388101983,High,Family Planning & Reproductive Health,Supporting,Supporting/contextual indicator,Context
mothers_who_had_an_antenatal_check_up_in_the_first_trimester_for_last_birth_in_the_5_years_before_the_survey_pct,706,706,1,-1,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Positive
mothers_who_had_at_least_4_antenatal_care_visits_for_last_birth_in_the_5_years_before_the_survey_pct,706,706,1,-1,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Positive
mothers_whose_last_birth_was_protected_against_neonatal_tetanus_for_last_birth_in_the_5_years_before_the_survey_9_pct,706,706,1,-1,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Positive
mothers_who_consumed_iron_folic_acid_for_100_days_or_more_when_they_were_pregnant_for_last_birth_in_the_5_years_before_the_survey_pct,706,706,1,-1,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Positive
mothers_who_consumed_iron_folic_acid_for_180_days_or_more_when_they_were_pregnant_for_last_birth_in_the_5_years_before_the_survey_pct,706,706,1,-1,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Positive
registered_pregnancies_for_which_the_mother_received_a_mother_and_child_protection_mcp_card_for_last_birth_in_the_5_years_before_the_survey_pct,706,706,1,-1,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Positive
